z,ra,dec
  0.070648,182.63808,3.1887773
  0.070651,190.98767,0.54156629
  0.070662,333.79936,-8.7310012
  0.070670,348.71172,-9.6416602
  0.070675,229.73277,9.4754423
  0.070677,183.22143,8.641049
  0.070684,333.18414,-8.9015286
  0.070697,134.78843,-0.16840716
  0.070730,49.091838,-6.7495992
  0.070737,165.13201,7.2169969
  0.070783,214.14735,6.0538369
  0.070786,49.090204,-7.2122131
  0.070788,184.2046,-0.7417647
  0.070794,200.92384,8.6894926
  0.070832,144.30007,1.5851494
  0.070838,227.5474,-1.1953197
  0.070839,135.14454,0.75800706
  0.070871,165.94389,1.250898
  0.070876,165.73978,7.6038636
  0.070882,142.6688,-0.52575332
  0.074942,140.02033,6.5553493
  0.074947,175.0739,1.3956406
  0.074953,314.0916,-5.3545922
  0.074953,345.77057,-0.16779349
  0.074956,60.099912,-5.0424734
  0.074970,176.74372,3.3490335
  0.074982,139.7286,5.0487544
  0.074985,190.17772,5.9616505
  0.074988,200.79946,5.5672761
  0.074993,202.88949,8.7319401
  0.074994,231.2726,6.953679
  0.074997,226.05219,5.2487082
  0.075009,206.8318,-3.1628832
  0.075034,175.05219,1.9477459
  0.075034,178.5264,3.9176104
  0.075042,177.5029,5.6553344
  0.075055,201.47756,-0.41198453
  0.075061,189.08177,1.8628334
  0.075067,222.21551,0.71633225
  0.075071,170.03898,6.525053
  0.075079,189.58398,6.1823714
  0.075085,208.21529,-2.6084756
  0.075091,186.26844,1.8148026
  0.075103,185.48972,5.4083564
  0.075104,46.744662,0.14259008
  0.075117,341.87308,-8.0371482
  0.075117,169.40396,2.5560599
  0.075121,168.17925,2.7003013
  0.075129,154.33451,6.5621833
  0.075129,167.9766,6.4405338
  0.075134,127.32133,3.9927947
  0.075135,206.18082,-2.9248085
  0.075139,177.14039,4.2289504
  0.075139,197.10006,-3.5672658
  0.075144,163.14258,3.27939
  0.075155,142.97468,9.5306813
  0.075157,154.47568,6.8832341
  0.075157,182.49205,2.4775687
  0.075170,141.77417,8.9495309
  0.075173,326.68191,0.67166532
  0.075173,171.07941,2.3513542
  0.075177,166.48143,4.5336277
  0.075181,207.2321,-1.5739199
  0.075184,177.90457,5.8988981
  0.075195,169.15753,-0.87298929
  0.075199,2.7978287,-0.20346634
  0.075203,188.76568,1.7856044
  0.075208,168.82083,3.1263101
  0.075210,144.04027,4.6055399
  0.075236,359.26875,-9.084545
  0.075239,180.8254,6.5769842
  0.075239,142.53664,5.5289745
  0.075247,231.3471,9.8887212
  0.075247,185.91798,7.0478987
  0.075254,216.16023,3.260839
  0.075270,208.9675,-3.3571773
  0.075280,172.05373,8.5787277
  0.075282,169.60938,6.8441186
  0.075289,183.70257,-2.9358277
  0.075292,141.7811,9.0140712
  0.075293,62.909224,-6.3145166
  0.075294,206.97805,-2.9572055
  0.075295,184.57352,2.3557333
  0.075296,184.4678,6.6825831
  0.075297,314.63451,-7.6114918
  0.075298,128.7141,9.0727745
  0.075301,160.44576,2.6134346
  0.075305,177.51057,5.6322913
  0.075306,124.64841,5.7602148
  0.075306,128.33028,4.444914
  0.075313,208.58204,7.3867687
  0.075315,228.82948,3.8473246
  0.075317,183.812,-0.88119904
